calweek,Cluster/Country/Region,SubCluster,brand,dc,TimeSeries_Key,Quantity,Ensemble_Predicted
202001,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,537.0,
202002,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,544.0,
202003,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,574.0,
202004,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,523.0,
202005,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,571.0,
202006,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,557.0,
202007,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,571.0,
202008,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,589.0,
202009,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,546.0,
202010,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,572.0,
202011,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,549.0,
202012,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,559.0,
202013,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,544.0,
202014,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,537.0,
202015,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,573.0,
202016,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,535.0,
202017,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,552.0,
202018,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,600.0,
202019,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,522.0,
202020,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,561.0,
202021,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,529.0,
202022,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,554.0,
202023,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,551.0,
202024,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,580.0,
202025,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,539.0,
202026,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,587.0,
202027,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,496.0,
202028,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,539.0,
202029,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,564.0,
202030,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,541.0,
202031,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,534.0,
202032,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,568.0,
202033,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,553.0,
202034,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,574.0,
202035,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,571.0,
202036,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,533.0,
202037,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,566.0,
202038,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,544.0,
202039,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,514.0,
202040,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,558.0,
202041,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,511.0,
202042,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,582.0,
202043,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,563.0,
202044,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,517.0,
202045,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,565.0,
202046,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,542.0,
202047,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,531.0,
202048,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,589.0,
202049,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,567.0,
202050,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,529.0,
202051,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,579.0,
202052,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,537.0,
202101,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,561.0,
202102,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,532.0,
202103,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,559.0,
202104,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,584.0,
202105,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,573.0,
202106,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,524.0,
202107,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,555.0,
202108,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,564.0,
202109,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,582.0,
202110,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,562.0,
202111,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,564.0,
202112,US,SC1,BRANDA,DC1,PRDCT1_CUSTA,555.0,
